epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.479,1.07985,0.48324,1.14407,0.98355,0.99839,0.99446,0.73607,1.04047,0.42434,1.17815,7e-05,7e-05,7e-05
2,73.8348,1.10624,0.51556,1.17142,0.98608,0.99817,0.99437,0.73218,1.03821,0.43133,1.17474,0.00014901,0.00014901,0.00014901
3,106.654,1.09057,0.4999,1.12994,0.98657,0.99849,0.99413,0.72738,1.05637,0.42864,1.18376,0.000226964,0.000226964,0.000226964
4,139.122,1.09701,0.48615,1.12941,0.98668,0.99789,0.99362,0.74355,1.00903,0.421,1.15796,0.000303862,0.000303862,0.000303862
5,172.072,1.07587,0.49256,1.1403,0.98531,0.99821,0.99391,0.73499,1.0349,0.42004,1.17004,0.000379704,0.000379704,0.000379704
6,204.348,1.07913,0.49949,1.12131,0.98457,0.99824,0.99396,0.74619,0.98906,0.4187,1.14588,0.00045449,0.00045449,0.00045449
7,236.937,1.07832,0.49835,1.12423,0.98609,0.99828,0.99414,0.74472,0.99672,0.4147,1.14828,0.00052822,0.00052822,0.00052822
8,269.306,1.09433,0.49201,1.10355,0.9867,0.99814,0.99428,0.74434,1.00569,0.41277,1.1546,0.000600894,0.000600894,0.000600894
9,306.01,1.08981,0.49566,1.12443,0.98663,0.99817,0.9942,0.74229,1.01249,0.42215,1.15373,0.000672512,0.000672512,0.000672512
10,349.401,1.08535,0.49707,1.10057,0.98647,0.99838,0.994,0.73941,1.01127,0.4163,1.15714,0.000743074,0.000743074,0.000743074
11,391.706,1.1066,0.50169,1.12584,0.98598,0.99849,0.9939,0.7321,1.03955,0.42077,1.17002,0.00081258,0.00081258,0.00081258
12,425.839,1.08716,0.48502,1.11809,0.98602,0.99808,0.99399,0.7499,0.99616,0.41368,1.14558,0.00088103,0.00088103,0.00088103
13,458.166,1.10616,0.50357,1.10026,0.98632,0.9978,0.99419,0.74026,1.02897,0.41673,1.15835,0.0009208,0.0009208,0.0009208
14,490.526,1.10119,0.49222,1.11889,0.9863,0.99727,0.99397,0.7401,1.03574,0.41703,1.17145,0.0009142,0.0009142,0.0009142
15,522.689,1.07502,0.48623,1.12116,0.98458,0.99762,0.99327,0.74442,1.00432,0.40722,1.1503,0.0009076,0.0009076,0.0009076
16,554.738,1.09095,0.50278,1.10907,0.98447,0.99821,0.99307,0.73562,1.02005,0.41451,1.15729,0.000901,0.000901,0.000901
17,586.868,1.09555,0.49201,1.11018,0.9855,0.99842,0.99373,0.73658,1.02189,0.42062,1.16636,0.0008944,0.0008944,0.0008944
18,618.758,1.08133,0.4933,1.13701,0.98578,0.99817,0.9942,0.73981,1.00624,0.41041,1.15011,0.0008878,0.0008878,0.0008878
19,651.092,1.09137,0.48294,1.11152,0.98569,0.99805,0.99416,0.75022,0.98459,0.40458,1.14178,0.0008812,0.0008812,0.0008812
20,683.27,1.07185,0.47714,1.10049,0.98465,0.99895,0.99403,0.74774,1.00484,0.40819,1.15269,0.0008746,0.0008746,0.0008746
21,720.31,1.05396,0.48108,1.09457,0.98465,0.99894,0.99401,0.74209,1.01799,0.41106,1.15494,0.000868,0.000868,0.000868
22,762.79,1.0979,0.48705,1.13652,0.98496,0.99824,0.99403,0.74951,1.00045,0.40294,1.14617,0.0008614,0.0008614,0.0008614
23,804.544,1.09734,0.4853,1.11699,0.9855,0.99845,0.99429,0.74551,1.00535,0.40657,1.15047,0.0008548,0.0008548,0.0008548
24,846.022,1.07227,0.48176,1.10721,0.98536,0.99845,0.99436,0.73361,1.0311,0.40934,1.1594,0.0008482,0.0008482,0.0008482
25,887.202,1.06836,0.47774,1.12618,0.98508,0.99856,0.99423,0.74786,0.99265,0.40068,1.14455,0.0008416,0.0008416,0.0008416
26,928.806,1.0555,0.48221,1.11102,0.98608,0.99817,0.99438,0.75321,0.97244,0.40021,1.13679,0.000835,0.000835,0.000835
27,970.637,1.07093,0.48875,1.09833,0.98649,0.9988,0.99436,0.74063,1.00883,0.41084,1.15185,0.0008284,0.0008284,0.0008284
28,1012.88,1.10517,0.49934,1.15152,0.98543,0.99849,0.99429,0.75021,0.97896,0.40822,1.1357,0.0008218,0.0008218,0.0008218
29,1054.38,1.05464,0.47853,1.12567,0.98397,0.99806,0.99419,0.74971,0.97865,0.40414,1.1368,0.0008152,0.0008152,0.0008152
30,1095.74,1.06892,0.48658,1.11336,0.98415,0.99837,0.99443,0.75105,0.98004,0.40383,1.13437,0.0008086,0.0008086,0.0008086
31,1137.13,1.05979,0.48382,1.12109,0.98558,0.99817,0.99447,0.74449,0.99095,0.40704,1.13916,0.000802,0.000802,0.000802
32,1178.19,1.09415,0.49949,1.13374,0.98612,0.99902,0.99431,0.74246,1.00147,0.40927,1.1441,0.0007954,0.0007954,0.0007954
33,1218.72,1.08354,0.48362,1.14372,0.98564,0.99876,0.99417,0.74783,0.98803,0.40468,1.14015,0.0007888,0.0007888,0.0007888
34,1261.45,1.09139,0.48114,1.12223,0.98517,0.99821,0.99317,0.74098,1.00242,0.40677,1.14848,0.0007822,0.0007822,0.0007822
35,1302.23,1.0536,0.47836,1.12084,0.98413,0.99828,0.99173,0.73948,1.00478,0.41232,1.15176,0.0007756,0.0007756,0.0007756
36,1343.57,1.08971,0.48693,1.147,0.98592,0.99839,0.99103,0.7491,0.96903,0.40144,1.13617,0.000769,0.000769,0.000769
37,1384.38,1.04046,0.47654,1.11668,0.9858,0.99892,0.99195,0.75191,0.96709,0.39681,1.134,0.0007624,0.0007624,0.0007624
38,1425.94,1.06581,0.47295,1.11578,0.98511,0.99827,0.99309,0.74811,0.97803,0.40396,1.14264,0.0007558,0.0007558,0.0007558
39,1467.55,1.09246,0.48675,1.11694,0.9859,0.99824,0.99412,0.74626,0.97875,0.40349,1.14006,0.0007492,0.0007492,0.0007492
40,1508.33,1.06975,0.48156,1.12087,0.98648,0.99773,0.99436,0.74276,0.98428,0.40083,1.13696,0.0007426,0.0007426,0.0007426
41,1549.9,1.05007,0.47705,1.12089,0.98562,0.99747,0.99422,0.74679,0.97194,0.40319,1.13477,0.000736,0.000736,0.000736
42,1591.98,1.07819,0.48209,1.10506,0.98559,0.9989,0.99418,0.75277,0.96106,0.39885,1.12696,0.0007294,0.0007294,0.0007294
43,1634.31,1.07573,0.47869,1.11264,0.98585,0.99877,0.99435,0.74704,0.97781,0.4053,1.13519,0.0007228,0.0007228,0.0007228
44,1676.45,1.04785,0.48518,1.08168,0.98555,0.9989,0.99435,0.74686,0.96734,0.39972,1.13052,0.0007162,0.0007162,0.0007162
45,1720.11,1.05749,0.46742,1.08422,0.98555,0.99736,0.99437,0.75033,0.96296,0.3923,1.12539,0.0007096,0.0007096,0.0007096
46,1763.02,1.05555,0.46769,1.10014,0.98478,0.99935,0.9944,0.75207,0.96417,0.39642,1.13127,0.000703,0.000703,0.000703
47,1805.53,1.0403,0.48297,1.10842,0.98535,0.99821,0.9944,0.75267,0.95811,0.39153,1.12762,0.0006964,0.0006964,0.0006964
48,1848.44,1.04163,0.47362,1.09702,0.98672,0.99729,0.99438,0.75673,0.9574,0.39135,1.12733,0.0006898,0.0006898,0.0006898
49,1889.5,1.02889,0.46463,1.11789,0.98635,0.9974,0.99368,0.75922,0.95966,0.39465,1.12589,0.0006832,0.0006832,0.0006832
50,1931.14,1.02828,0.46147,1.0868,0.9869,0.99697,0.99351,0.75485,0.96201,0.39379,1.1278,0.0006766,0.0006766,0.0006766
51,1972.87,1.07108,0.47779,1.13188,0.98653,0.99887,0.99385,0.75425,0.9587,0.39268,1.12535,0.00067,0.00067,0.00067
52,2014.47,1.03515,0.45855,1.09161,0.98662,0.99849,0.99397,0.75603,0.95711,0.39122,1.12286,0.0006634,0.0006634,0.0006634
53,2055.86,1.03414,0.47596,1.09216,0.98656,0.99826,0.994,0.75439,0.96931,0.38813,1.1285,0.0006568,0.0006568,0.0006568
54,2097,1.05039,0.46992,1.10043,0.98702,0.99831,0.99422,0.75812,0.95852,0.39274,1.12258,0.0006502,0.0006502,0.0006502
55,2137.87,1.03472,0.4786,1.10092,0.98568,0.99905,0.99426,0.75903,0.95192,0.39242,1.12094,0.0006436,0.0006436,0.0006436
56,2181.01,1.02544,0.46362,1.09357,0.98546,0.99857,0.99416,0.76314,0.95099,0.38639,1.11971,0.000637,0.000637,0.000637
57,2223.07,1.03995,0.4719,1.10221,0.98668,0.99839,0.99413,0.75913,0.95375,0.38572,1.12155,0.0006304,0.0006304,0.0006304
58,2265.93,1.02931,0.47852,1.10698,0.98687,0.99861,0.9944,0.75583,0.967,0.39179,1.12612,0.0006238,0.0006238,0.0006238
59,2309.64,1.05173,0.47525,1.09378,0.98727,0.99773,0.99448,0.75967,0.94977,0.39944,1.12125,0.0006172,0.0006172,0.0006172
60,2351.76,1.01786,0.47129,1.09832,0.98518,0.99908,0.99438,0.75719,0.96718,0.39426,1.1296,0.0006106,0.0006106,0.0006106
61,2394.25,1.04861,0.46963,1.10103,0.98499,0.99956,0.99441,0.75533,0.9803,0.39222,1.13235,0.000604,0.000604,0.000604
62,2436.55,1.05515,0.4752,1.09465,0.98582,0.99895,0.99452,0.76774,0.93905,0.39078,1.11476,0.0005974,0.0005974,0.0005974
63,2478.25,1.03329,0.46691,1.11699,0.98574,0.99905,0.99455,0.76256,0.95228,0.39012,1.11998,0.0005908,0.0005908,0.0005908
64,2519.85,1.03617,0.45564,1.11104,0.98815,0.99645,0.99446,0.76386,0.94477,0.38693,1.11845,0.0005842,0.0005842,0.0005842
65,2557.65,1.01719,0.45964,1.09037,0.9864,0.99865,0.99445,0.75819,0.9679,0.39044,1.13658,0.0005776,0.0005776,0.0005776
66,2590.22,1.02897,0.4557,1.06748,0.98556,0.99927,0.9945,0.76687,0.93882,0.38423,1.11349,0.000571,0.000571,0.000571
67,2622.6,1.04342,0.46375,1.1244,0.9853,0.99943,0.99443,0.75916,0.95822,0.38886,1.12413,0.0005644,0.0005644,0.0005644
68,2654.61,1.01787,0.46386,1.11009,0.98567,0.99869,0.99438,0.76019,0.95041,0.39197,1.12186,0.0005578,0.0005578,0.0005578
69,2686.81,1.0429,0.48286,1.08957,0.98516,0.99934,0.99452,0.76208,0.94332,0.38573,1.11731,0.0005512,0.0005512,0.0005512
70,2719.03,1.02906,0.45466,1.0836,0.98561,0.99935,0.99448,0.76352,0.94192,0.3826,1.11382,0.0005446,0.0005446,0.0005446
71,2751.35,1.02448,0.45361,1.07506,0.98563,0.99905,0.99451,0.76641,0.94048,0.38189,1.11407,0.000538,0.000538,0.000538
72,2783.59,1.04288,0.45975,1.13074,0.98592,0.99905,0.99446,0.76491,0.95441,0.38523,1.11911,0.0005314,0.0005314,0.0005314
73,2824.97,1.03194,0.46586,1.09445,0.98589,0.99905,0.9944,0.7705,0.93108,0.38192,1.10864,0.0005248,0.0005248,0.0005248
74,2892.24,1.00434,0.4397,1.10035,0.98595,0.99817,0.99445,0.77269,0.92933,0.37857,1.10838,0.0005182,0.0005182,0.0005182
75,2938.37,1.03024,0.45252,1.08622,0.98669,0.99824,0.99429,0.76822,0.94012,0.38298,1.11808,0.0005116,0.0005116,0.0005116
76,2971.01,1.02167,0.46442,1.10121,0.9863,0.99851,0.99455,0.77145,0.93721,0.38625,1.11143,0.000505,0.000505,0.000505
77,3003.58,1.00138,0.45887,1.07689,0.98635,0.9989,0.99456,0.76455,0.94152,0.39092,1.11488,0.0004984,0.0004984,0.0004984
78,3036.01,1.02911,0.46698,1.07757,0.98603,0.99896,0.99455,0.76808,0.93805,0.38984,1.11429,0.0004918,0.0004918,0.0004918
79,3067.95,1.03324,0.45852,1.12815,0.986,0.99905,0.99457,0.76911,0.94364,0.38507,1.11138,0.0004852,0.0004852,0.0004852
80,3100.36,0.99978,0.45333,1.08209,0.98594,0.99905,0.9946,0.76954,0.94096,0.38473,1.11164,0.0004786,0.0004786,0.0004786
81,3132.43,1.02014,0.46062,1.08769,0.98679,0.99905,0.9945,0.76968,0.93527,0.38309,1.11002,0.000472,0.000472,0.000472
82,3166.31,1.03198,0.45911,1.07182,0.98663,0.99892,0.99451,0.77128,0.92561,0.38122,1.10599,0.0004654,0.0004654,0.0004654
83,3208.07,1.03921,0.47074,1.09283,0.98651,0.99905,0.99458,0.77011,0.92806,0.38167,1.10691,0.0004588,0.0004588,0.0004588
84,3249.59,1.02956,0.46096,1.12553,0.98627,0.99905,0.99456,0.77173,0.92167,0.38072,1.10592,0.0004522,0.0004522,0.0004522
